,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,target,avgcounts
1,A1BG,69.9371817339152,-0.402520222046464,0.298202764729012,-1.34982055720459,0.177073549112051,0.994303329444837,Non-PcB,2.88871128332475
2,A2M,2587.74952662486,1.05345703703809,0.332712035172688,3.16627270934551,0.00154405961508497,0.404382779609024,Non-PcB,5.58508827237928
3,A2ML1-AS1,112.690024666431,0.0927522389855239,0.330409778007729,0.280718807853665,0.778926081998119,0.997585529374697,Non-PcB,2.9801164660981
4,AAAS,700.039279100862,-0.0056415744663019,0.124268049440715,-0.0453984309860221,0.963789731591637,0.998313625968902,Non-PcB,6.1304656813583
5,AACS,343.969032104256,0.0904959001164957,0.161134470550144,0.561617261704001,0.574376816971019,0.997585529374697,PcB target,4.9859209429754
6,AADAT,253.155607114976,-0.0801524998715755,0.180861997061961,-0.443169384246688,0.657643221796647,0.997585529374697,Non-PcB,4.96446676390886
7,AAGAB,521.255212311421,-0.0583101656655086,0.149555276594098,-0.389890393662043,0.696617597655171,0.997585529374697,PcB target,5.53145471016552
8,AAK1,377.989587636457,0.287821982547829,0.153126658296833,1.87963340772377,0.0601580569519275,0.916662950233552,Non-PcB,5.21056377854037
9,AAMDC,401.794267214454,0.182576388300699,0.124053957497181,1.47174980939119,0.141088451613122,0.978676704083899,Non-PcB,5.71119060387977
10,AAMP,957.606125803784,-0.100064597451954,0.0917750849687904,-1.0903242147472,0.275570352205675,0.997585529374697,Non-PcB,6.61486931354198
11,AAR2,484.430434673382,-0.0434018311777013,0.136082653028615,-0.318937279746999,0.749774074232059,0.997585529374697,Non-PcB,5.66162096669811
12,AARS1,2944.37884072252,-0.131610476786082,0.105410220033692,-1.2485551851046,0.211827812272977,0.997585529374697,Non-PcB,8.12793289154306
13,AARS2,421.559749159999,-0.0261269642488827,0.145000066641071,-0.180185877524846,0.857006645079184,0.997585529374697,PcB target,5.48179609176714
14,AASDH,99.3939047281389,-0.134969384932012,0.288826601810428,-0.467302471746004,0.640283488278903,0.997585529374697,Non-PcB,3.62056801968721
15,AASDHPPT,707.308042767516,-0.0731691587705377,0.13513300968302,-0.541460291176595,0.588190360380609,0.997585529374697,Non-PcB,6.03577483597827
16,AASS,433.306453755428,-0.132395124052301,0.171129068320905,-0.773656546788597,0.439133922936743,0.997585529374697,Non-PcB,5.5056820111973
17,AATF_1,72.9183454937874,-1.57608585604449,1.20771708103981,-1.30501247418603,0.191888600208017,0.997585529374697,Non-PcB,3.88285891916062
18,ABALON,449.883200690767,0.0196665531260566,0.125679373473211,0.156481947534919,0.875653147731233,0.997585529374697,Non-PcB,5.34855209922239
19,ABAT,1266.17466228023,0.344581032116389,0.130256650254516,2.64540068735908,0.00815942344964114,0.617904290273727,Non-PcB,6.96972948876543
20,ABCA2,625.282225325304,0.305170944959326,0.210697801059313,1.44838220154665,0.147510189690804,0.986401080996031,Non-PcB,5.97588814614203
21,ABCA3,2342.08229696431,0.0305034406911224,0.15030212494103,0.202947501261809,0.839176066114131,0.997585529374697,Non-PcB,8.14971510939616
22,ABCA5,90.8987030051448,0.425070917037816,0.323760851532011,1.31291635485394,0.189211135217861,0.997585529374697,PcB target,3.07853718890465
23,ABCA7,55.3698427437754,0.0435640440778503,0.376556538536729,0.115690579287607,0.90789777275544,0.997585529374697,Non-PcB,2.98393704663975
24,ABCB1,64.8269237269323,-0.109396463307502,0.351321976358052,-0.311385198391375,0.755507804956715,0.997585529374697,PcB target,3.77744229148451
25,ABCB10,489.787786360601,-0.00932128722936604,0.134414593666473,-0.0693472857009504,0.944713187757051,0.998059195770576,Non-PcB,5.6431667408174
26,ABCB4,81.7792350024347,0.291053387277556,0.288139045507402,1.01011435907627,0.312440503522175,0.997585529374697,Non-PcB,3.52522994091363
27,ABCB6,596.055516739684,0.0864940562033028,0.15966092251655,0.541735916591218,0.588000443379101,0.997585529374697,Non-PcB,6.17780347612378
28,ABCB7,332.233628338401,0.00346680844581425,0.156716541937294,0.0221215220994438,0.982351018523181,0.999849166573003,Non-PcB,5.06153488719984
29,ABCB8,189.983705327149,-0.0769701925573599,0.19136196691639,-0.402223042528559,0.687519885527899,0.997585529374697,Non-PcB,4.48698129763242
30,ABCB9,149.880034471866,0.195448336571674,0.225380427937431,0.867193031623549,0.385836253701722,0.997585529374697,Non-PcB,3.91133985020089
31,ABCC1,91.6788564147781,0.05589714585087,0.393188354556735,0.142163787922677,0.886950634271809,0.997585529374697,Non-PcB,3.69607170232798
32,ABCC1_1,178.518800116612,0.378340797939421,0.246898424320748,1.53237429108869,0.125430097865359,0.978676704083899,Non-PcB,4.23295595322103
