,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,target,avgcounts
1,A1BG,69.9371817339152,-0.313090692804151,0.300338500827816,-1.04245939811641,0.297198740218702,0.832794104076371,Non-PcB,2.83785055592403
2,A2M,2587.74952662486,0.516675551966597,0.33060407603837,1.5628226915951,0.1180943053405,0.66423423375187,Non-PcB,5.82086047394913
3,A2ML1-AS1,112.690024666431,0.129357495409568,0.331912831475663,0.389733337016389,0.696733742554289,0.967377940981883,Non-PcB,2.96086017097242
4,AAAS,700.039279100862,0.101243171815098,0.124960772852558,0.810199629083238,0.417825450640798,0.902299998354656,Non-PcB,6.07674196027279
5,AACS,343.969032104256,-0.0202595654573212,0.160674498666102,-0.126090733909322,0.899660102198859,0.992210609474785,PcB target,5.03814533709686
6,AADAT,253.155607114976,-0.0244131023573564,0.181572872861426,-0.134453467484584,0.893044004470921,0.991233219441686,Non-PcB,4.94022841782243
7,AAGAB,521.255212311421,-0.0569907396584257,0.149791421175743,-0.380467313889499,0.703598555236845,0.968796432237148,PcB target,5.52838556076084
8,AAK1,377.989587636457,0.00922410095998306,0.151572954364312,0.0608558499019062,0.95147401091246,0.997053274867825,Non-PcB,5.33429035495008
9,AAMDC,401.794267214454,0.152904498770228,0.124156719342878,1.23154428998691,0.218119362396048,0.775345717937821,Non-PcB,5.72386787650347
10,AAMP,957.606125803784,-0.133452746559548,0.0918206992044854,-1.45340590646503,0.146111087519758,0.705171900383499,Non-PcB,6.63038067060697
11,AAR2,484.430434673382,-0.0116206701686579,0.136502093824371,-0.0851318089201588,0.932156602230774,0.996132937566997,Non-PcB,5.64397926904378
12,AARS1,2944.37884072252,-0.166559717834093,0.10543133714476,-1.57979327915953,0.114154215264351,0.657285144211934,Non-PcB,8.14378013385996
13,AARS2,421.559749159999,-0.00184395273342484,0.145444409314294,-0.0126780585250287,0.989884643821524,0.998783197486185,PcB target,5.47187123643717
14,AASDH,99.3939047281389,-0.0460563702722209,0.290285293491689,-0.158658985848829,0.87393755332985,0.989926248694338,Non-PcB,3.58127251295402
15,AASDHPPT,707.308042767516,0.130609809465894,0.13623074224824,0.958739615672772,0.337689935851654,0.859854199633611,Non-PcB,5.93368862284921
16,AASS,433.306453755428,0.0835057603822245,0.172461867831379,0.484198399520239,0.628245072646684,0.951754580887185,Non-PcB,5.39919858445577
17,AATF_1,72.9183454937874,-0.661503869948767,1.20974889129976,-0.54681089167029,0.584508659529642,0.944520983450281,Non-PcB,3.40689095122804
18,ABALON,449.883200690767,-0.268381966465845,0.124001470168812,-2.16434503639737,0.0304378787362555,0.402773235361545,Non-PcB,5.49394088096543
19,ABAT,1266.17466228023,-0.373791281185928,0.128871791347632,-2.90048952743759,0.00372580287985681,0.133438940178575,Non-PcB,7.32895262053513
20,ABCA2,625.282225325304,-0.18979853210283,0.209498525188758,-0.905965958146112,0.364953870901079,0.879679556836726,Non-PcB,6.21461541574723
21,ABCA3,2342.08229696431,-0.0858456248936027,0.150236233786012,-0.57140426600334,0.567725637998072,0.942709751323904,Non-PcB,8.20469625874004
22,ABCA5,90.8987030051448,-0.514940944871286,0.312806543843402,-1.64619620339233,0.0997233706796454,0.627761302908903,PcB target,3.54187797710517
23,ABCA7,55.3698427437754,0.392533320813663,0.382548412556541,1.02610103173712,0.304843964033615,0.838866174114734,Non-PcB,2.87443417334282
24,ABCB1,64.8269237269323,-0.0601539572641766,0.352041735479542,-0.170871664356036,0.864324677526319,0.989565165863694,PcB target,3.75896943446253
25,ABCB10,489.787786360601,0.566407729269333,0.138644957352642,4.08531071078683,4.40178730798583e-05,0.00542498708320489,Non-PcB,5.38475068292543
26,ABCB4,81.7792350024347,-0.162739330600548,0.283633927895077,-0.573765387689266,0.566126573777466,0.942709751323904,Non-PcB,3.70278377340133
27,ABCB6,596.055516739684,-0.0589939144511921,0.159349713028561,-0.370216634407232,0.711221083300372,0.969800632176765,Non-PcB,6.24802300189326
28,ABCB7,332.233628338401,-0.0275917047556274,0.156831436566745,-0.175932232463387,0.860347182440616,0.989111359325063,Non-PcB,5.07535087447141
29,ABCB8,189.983705327149,-0.0115316775654472,0.19238025643007,-0.0599421051797951,0.952201745081738,0.997053274867825,Non-PcB,4.45723165744241
30,ABCB9,149.880034471866,-0.0120710899873,0.223602244923016,-0.0539846547222991,0.956947390170049,0.997612907005212,Non-PcB,4.0153114993938
31,ABCC1,91.6788564147781,0.457625481269542,0.397147831810465,1.15227994367583,0.24920605588319,0.801940073787051,Non-PcB,3.51469889246634
32,ABCC1_1,178.518800116612,0.186081114090115,0.245606416466527,0.757639465479824,0.44866684725114,0.908138610072656,Non-PcB,4.31848170524468
33,ABCC10,342.764197034862,-0.206655109539028,0.206691443952164,-0.999824209399085,0.317395587698509,0.847511896706835,Non-PcB,5.19835411367653
34,ABCC11,86.77339023604,0.00119146250065607,0.298749747988527,0.00398816236223846,0.996817915260606,0.99928213817712,Non-PcB,3.13409207481119
35,ABCC4,292.866616086874,-0.131195666927902,0.171037849159715,-0.76705634204621,0.443048017597361,0.907326659285703,Non-PcB,4.8526924536763
36,ABCC5,372.259137785347,-0.0960319308583269,0.163750553803587,-0.586452556206399,0.557571435097503,0.941280021082613,Non-PcB,5.41637159482203
37,ABCD1,158.464079255291,0.00606337909256714,0.263860160338039,0.0229795171988039,0.98166661154262,0.998661561948303,Non-PcB,4.52898587385805
38,ABCD3,1119.38665901264,-0.138679723854754,0.120425318157395,-1.15158278987066,0.24949255680995,0.802548897279971,Non-PcB,6.64857433328115
39,ABCD4,186.56567264027,0.0548105797969689,0.212208888116473,0.258285976065647,0.796186208647986,0.980172090545508,Non-PcB,4.45255563413954
40,ABCE1,1366.54412621372,0.118062682950787,0.132881654880943,0.888479926416984,0.374282648932698,0.884262156344954,Non-PcB,7.20282064180553
41,ABCF3,460.740937470336,0.0717396396135318,0.158240193757423,0.453359149215314,0.650290147142562,0.955261573527099,PcB target,5.42173484982786
