,sample.ID,genotype,replicate,guide,target,harvest,condition,treatment,group,sample.name,ID.harvests,colnames
CBX4.1_K27M+_1_A,29,K27M+,1,CBX4.1,CBX4,A,CBX4.1_K27M+,CBX4_K27M+,CBX4_K27M+_A,CBX4.1_K27M+_1_A,X29A,X29A_R1_001
CBX4.1_K27M+_1_B,29,K27M+,1,CBX4.1,CBX4,B,CBX4.1_K27M+,CBX4_K27M+,CBX4_K27M+_B,CBX4.1_K27M+_1_B,X29B,X29B_R1_001
CBX4.2_K27M+_1_A,31,K27M+,1,CBX4.2,CBX4,A,CBX4.2_K27M+,CBX4_K27M+,CBX4_K27M+_A,CBX4.2_K27M+_1_A,X31A,X31A_R1_001
CBX4.2_K27M+_1_B,31,K27M+,1,CBX4.2,CBX4,B,CBX4.2_K27M+,CBX4_K27M+,CBX4_K27M+_B,CBX4.2_K27M+_1_B,X31B,X31B_R1_001
CBX2.1_K27M+_1_A,33,K27M+,1,CBX2.1,CBX2,A,CBX2.1_K27M+,CBX2_K27M+,CBX2_K27M+_A,CBX2.1_K27M+_1_A,X33A,X33A_R1_001
CBX2.1_K27M+_1_B,33,K27M+,1,CBX2.1,CBX2,B,CBX2.1_K27M+,CBX2_K27M+,CBX2_K27M+_B,CBX2.1_K27M+_1_B,X33B,X33B_R1_001
CBX2.3_K27M+_1_A,35,K27M+,1,CBX2.3,CBX2,A,CBX2.3_K27M+,CBX2_K27M+,CBX2_K27M+_A,CBX2.3_K27M+_1_A,X35A,X35A_R1_001
CBX2.3_K27M+_1_B,35,K27M+,1,CBX2.3,CBX2,B,CBX2.3_K27M+,CBX2_K27M+,CBX2_K27M+_B,CBX2.3_K27M+_1_B,X35B,X35B_R1_001
EZH2.3_K27M+_1_A,37,K27M+,1,EZH2.3,EZH2,A,EZH2.3_K27M+,EZH2_K27M+,EZH2_K27M+_A,EZH2.3_K27M+_1_A,X37A,X37A_R1_001
EZH2.3_K27M+_1_B,37,K27M+,1,EZH2.3,EZH2,B,EZH2.3_K27M+,EZH2_K27M+,EZH2_K27M+_B,EZH2.3_K27M+_1_B,X37B,X37B_R1_001
