,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,target,avgcounts
1,A1BG,69.9371817339152,-0.415908469118599,0.29693181465409,-1.40068678596502,0.161307755879838,0.26232856392826,Non-PcB,2.86504319700817
2,A2M,2587.74952662486,-3.14405636262195,0.326156331744125,-9.63972198794693,5.43349295630039e-22,2.25427194566509e-20,Non-PcB,8.28678049625571
3,A2ML1-AS1,112.690024666431,-1.4053817857776,0.314889056066141,-4.46310139620225,8.07818018307437e-06,4.55793550634775e-05,Non-PcB,3.81663233779888
4,AAAS,700.039279100862,-0.211679192612806,0.123193748205911,-1.71826245808348,0.0857487537204131,0.157941037805028,Non-PcB,6.20949099706703
5,AACS,343.969032104256,-0.215475323685862,0.158617730943933,-1.35845672740096,0.174318804531421,0.278480326822276,PcB target,5.110751237354
6,AADAT,253.155607114976,0.424578400032112,0.184089678735933,2.30636721704071,0.0210901221767615,0.0486769901718373,Non-PcB,4.71091881105228
7,AAGAB,521.255212311421,-0.466467843241528,0.147368319796659,-3.16531968258284,0.00154912646444997,0.00514370543703131,PcB target,5.71970722528406
8,AAK1,377.989587636457,-0.117942722950018,0.150141195974083,-0.785545380698693,0.432133874008281,0.560441032720324,Non-PcB,5.37737168694424
9,AAMDC,401.794267214454,0.638542107075373,0.126698235845634,5.03986581039184,4.65858372615468e-07,3.32366946773498e-06,Non-PcB,5.49423722002769
10,AAMP,957.606125803784,-0.179954043207759,0.0911906390644203,-1.9733828499725,0.048451960048481,0.0986060530628873,Non-PcB,6.62794644680913
11,AAR2,484.430434673382,-0.0851550950239995,0.13549132299385,-0.628491132438528,0.529682253889673,0.649622986697276,Non-PcB,5.65490371870437
12,AARS1,2944.37884072252,-0.190405607904091,0.105266317178876,-1.80879898724433,0.0704822377006792,0.13472224958309,Non-PcB,8.13326764993609
13,AARS2,421.559749159999,-0.0285464227760915,0.144614400314516,-0.197396820192228,0.84351701778704,0.895703646618327,PcB target,5.45178939674787
14,AASDH,99.3939047281389,0.704536615953492,0.298879301215403,2.35726131949743,0.018410286181547,0.0435520714317327,Non-PcB,3.22768090183636
15,AASDHPPT,707.308042767516,-0.278083950573653,0.134085101615472,-2.07393623320763,0.03808523342315,0.0802900334332415,Non-PcB,6.11109551308181
16,AASS,433.306453755428,-0.0959515455199905,0.17098472505254,-0.561170276997006,0.57468146330437,0.687571679369316,Non-PcB,5.46331540637922
17,AATF_1,72.9183454937874,1.1197225632304,1.21863863923874,0.918830674801075,0.358184145201012,0.487783868413164,Non-PcB,2.53532427460748
18,ABALON,449.883200690767,-0.248799227011651,0.123393241808602,-2.01631161775917,0.0437674008318934,0.0902890394752055,Non-PcB,5.45451897236702
19,ABAT,1266.17466228023,0.180825913184462,0.129702754495367,1.39415630676464,0.163270408971907,0.264617805501244,Non-PcB,7.01947115841072
