,Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,effect,target,Label
45,CHST2,258.381846032204,-2.22686775944712,0.225671426038298,1.34393327403529e-24,1.28021116952982e-22,Downregulated,PcB target,CHST2
46,PERP,119.26005849147,4.0237439664271,0.396936880882555,1.38044855283479e-24,1.30861161843485e-22,Upregulated,PcB target,PERP
47,PDE8B,233.132476697872,2.36375005271466,0.239452360845579,2.50570094374449e-24,2.3524676937232e-22,Upregulated,PcB target,PDE8B
48,SLC1A2,345.139884338639,-6.69555257363677,0.680898408095569,5.12601509421512e-24,4.65585222138757e-22,Downregulated,PcB target,SLC1A2
49,FZD8,93.2919523948358,-5.49937571062082,0.554775321733331,6.07618598056665e-24,5.41807122504592e-22,Downregulated,PcB target,FZD8
50,NRN1,384.808163178503,-2.35132195588525,0.240767548901706,6.67361161614485e-24,5.87037331712057e-22,Downregulated,PcB target,NRN1
51,TACC1,470.10860393755,1.38997081377551,0.148855358294366,4.9166183415691e-23,4.01722690268458e-21,Upregulated,PcB target,TACC1
52,RAB29,194.42488404359,-1.92197026427362,0.206107062303874,5.53774962562946e-23,4.46864358220216e-21,Downregulated,PcB target,RAB29
53,CCND2,2303.18435034278,-0.866782175792677,0.0915896135222241,3.02472722768598e-22,2.31634797263733e-20,Downregulated,PcB target,CCND2
54,JAZF1,111.302726122733,2.77862992456143,0.292588983010593,3.89107792102618e-22,2.96816287663278e-20,Upregulated,PcB target,JAZF1
55,DLX6-AS1,204.253568650346,6.46654774106701,0.691810678183215,6.90027453680916e-22,5.16278012087392e-20,Upregulated,PcB target,DLX6-AS1
56,SOCS2,96.8214895234503,-4.39191619988785,0.465030669498646,1.11859490677563e-21,8.16175168059633e-20,Downregulated,PcB target,SOCS2
57,ITM2C,5852.06201634318,1.04732394744772,0.113886087354677,1.36837448899832e-21,9.78813810298872e-20,Upregulated,PcB target,ITM2C
58,PRAG1,379.192475117627,2.05921675393864,0.228811954783429,2.10987567622428e-21,1.49281348569955e-19,Upregulated,PcB target,PRAG1
59,ANK3,412.935836415519,1.62358497904904,0.183343469257124,2.21498520912793e-21,1.56152459075272e-19,Upregulated,PcB target,ANK3
60,PDIA6,4504.63128346121,-0.887982621749327,0.0963117476306697,2.7056540391445e-21,1.86042296043711e-19,Downregulated,PcB target,PDIA6
