,Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,effect,target,Label
2388,MIR633,0,0,1.1291858251519,NA,NA,NS,PcB target,NA
2389,ACE,1.70631202781305,-0.0300861347550878,0.725586914688727,0.87534538910567,NA,NS,PcB target,NA
2390,CSH1,0.088528135534582,0,1.06450437901293,1,NA,NS,PcB target,NA
2391,RGS9,2.34587969277111,-0.124956592188771,0.602047769255751,0.529782903935814,NA,NS,PcB target,NA
2392,ARHGAP27P2,0.0629061646518268,0,1.06450437901473,1,NA,NS,PcB target,NA
2393,SNORD1A,0,0,1.1291858251519,NA,NA,NS,PcB target,NA
2394,ST6GALNAC1,1.17219805866266,-0.0492417948616657,0.640031550509362,0.796907054049995,NA,NS,PcB target,NA
2395,LINC00868,0.0381197745697915,0,1.06450437901507,1,NA,NS,PcB target,NA
2396,SNHG20,0,0,1.1291858251519,NA,NA,NS,PcB target,NA
2397,LINC01987,0.0307322643995306,0,1.0645043790191,1,NA,NS,PcB target,NA
2398,LINC01973,1.08859091333998,0.161463191557188,0.852960101154267,0.438288593581029,NA,NS,PcB target,NA
2399,C1QTNF1-AS1,0.093378949064544,-0.0191940557266509,1.06586672858778,0.868627198175352,NA,NS,PcB target,NA
2400,ENPP7,0.135922898895724,-0.019403217957021,1.06591748661262,0.867194761383028,NA,NS,PcB target,NA
2401,LINC01978,1.54681795158843,-0.27065665377746,0.861866957115804,0.246787723490313,NA,NS,PcB target,NA
2402,PVALEF,1.32775568028517,0.0665932568233669,0.659633803419698,0.730179345859515,NA,NS,PcB target,NA
2403,LINC00482,0.466633965451342,-0.0546233542550871,1.00948970933679,0.72336523522712,NA,NS,PcB target,NA
2404,TMEM105,1.00896827999222,-0.404882127203968,1.15794985628649,0.133187654484926,NA,NS,PcB target,NA
2405,MIR3186,1.30954086606884,0.277534646779784,0.936362434003867,0.240084021347848,NA,NS,PcB target,NA
2406,GCGR,0.854846818613775,0.0777282808890825,0.826111748432075,0.688360930829635,NA,NS,PcB target,NA
2407,LINC01970,1.2964197690505,0.0867790764149196,0.732046814838589,0.658732180076621,NA,NS,PcB target,NA
2408,SECTM1,0.911669762836776,0,0.85176921680886,1,NA,NS,PcB target,NA
2409,UTS2R,2.17313457992368,0,0.721870735166929,1,NA,NS,PcB target,NA
2410,METRNL,2.14230145129806,-0.15086361047391,0.633007076364488,0.458077682003653,NA,NS,PcB target,NA
2411,CBX3P2,2.13591142514017,-0.0219668197132153,0.624180339001063,0.907825263541148,NA,NS,PcB target,NA
2412,ANKRD62,1.79683877564153,0.156112572783163,0.769365487720312,0.451819906232143,NA,NS,PcB target,NA
2413,GATA6-AS1,0,0,1.1291858251519,NA,NA,NS,PcB target,NA
2414,ANKRD29,0.97430957362512,0.0776829812044723,0.795858574608577,0.690346067244592,NA,NS,PcB target,NA
2415,RAX,0.0452121469669366,0,1.06450437901902,1,NA,NS,PcB target,NA
2416,TNFRSF11A,1.61384323523416,-0.153761852004161,0.770169649840284,0.45776261231977,NA,NS,PcB target,NA
2417,LINC00683,2.37607702900388,0.164120185369375,0.612942153828501,0.423852858845129,NA,NS,PcB target,NA
2418,MISP,3.10273017877705,-0.676592186233249,1.08906429733507,0.0468721662721709,NA,NS,PcB target,NA
2419,ADAMTSL5,2.6899117998579,0.0450821033349492,0.52240116456996,0.813894607756988,NA,NS,PcB target,NA
2420,ONECUT3,0.498092847753379,0,0.959386412517828,1,NA,NS,PcB target,NA
2421,TLE6,1.59864749908498,-0.130597406329071,0.779517649507476,0.520209397100509,NA,NS,PcB target,NA
2422,SMIM24,2.62502465942953,-0.299771350622101,0.829010979998432,0.210375765671258,NA,NS,PcB target,NA
2423,FUT6,0.32160805855576,0.0188037975077606,1.00729042204052,0.900043167046146,NA,NS,PcB target,NA
2424,FUT3,0.876936218141905,-0.117116947391355,0.890250400506182,0.550430095571974,NA,NS,PcB target,NA
2425,CD70,2.31135727124767,0.00780693571211288,0.5643291981755,0.967046818301283,NA,NS,PcB target,NA
2426,ICAM4,0.875563058219043,-0.139781558551673,0.970414508176431,0.464735003599982,NA,NS,PcB target,NA
2427,S1PR5,1.71524850179228,-0.124270056355389,0.776630745158882,0.538500630598731,NA,NS,PcB target,NA
2428,NXNL1,0.268117608136718,-0.0262402311435026,1.06686617775223,0.821534180868976,NA,NS,PcB target,NA
2429,CRLF1,1.48570496419826,0,0.707658660615079,1,NA,NS,PcB target,NA
2430,COMP,1.09690165788819,-0.0278590920230913,0.750369853338114,0.884424997844781,NA,NS,PcB target,NA
2431,ACP7,0.396237625373174,-0.0738893959263981,1.03019443212745,0.623607369870619,NA,NS,PcB target,NA
2432,NCCRP1,0.47144846617552,0.0840679641972259,0.985312526804042,0.62149799147941,NA,NS,PcB target,NA
2433,LEUTX,0.134023912073435,0,1.06450437901275,1,NA,NS,PcB target,NA
2434,EXOC3L2,2.35583907898229,-0.544600634528363,1.19515971000979,0.0817968501466591,NA,NS,PcB target,NA
2435,MIR6088,0.0437251819098114,0,1.06450437901877,1,NA,NS,PcB target,NA
2436,PPM1N,2.68826447250443,-0.37350975554757,0.879691567125164,0.148265892887023,NA,NS,PcB target,NA
