,Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,effect,target,Label
45,CTSB,1467.0650725396,1.42147060472835,0.15023322307909,1.8962632819781e-23,1.61095103252232e-21,Upregulated,PcB target,CTSB
46,FZD8,93.2919523948358,-5.41449288342398,0.556223746233427,3.72214255556166e-23,3.1100568908693e-21,Downregulated,PcB target,FZD8
47,EGFR,629.665599567717,-1.15399787460677,0.122252573646559,5.98214745992445e-23,4.91747052738081e-21,Downregulated,PcB target,EGFR
48,YBX3,1894.06059629086,-0.951424462672054,0.100372036904239,1.09938731791573e-22,8.71951566521911e-21,Downregulated,PcB target,YBX3
49,OTULINL,322.325809307162,4.39459998424298,0.455256027336383,1.51115339074447e-22,1.17108620021663e-20,Upregulated,PcB target,OTULINL
50,RUNX1,245.637679130731,-2.09825862374418,0.226783743368229,2.53838431981165e-22,1.91596116094631e-20,Downregulated,PcB target,RUNX1
51,PDE8B,233.132476697872,2.24079461212225,0.242353964490459,5.16244712002599e-22,3.81157550272755e-20,Upregulated,PcB target,PDE8B
52,JAZF1,111.302726122733,2.76447349282109,0.293422012617165,7.88473255520635e-22,5.73805053049856e-20,Upregulated,PcB target,JAZF1
53,RAB6A,1920.40650744812,0.738852958219104,0.0794502814492725,2.07946831220895e-21,1.44100766590753e-19,Upregulated,PcB target,RAB6A
54,GLIPR2,494.881404040051,1.23191345557117,0.13702956661919,2.88742107470712e-21,1.98732872884249e-19,Upregulated,PcB target,GLIPR2
55,RCAN2,504.66523783184,2.04584791944443,0.229088145224662,3.89389619864692e-21,2.64420295710124e-19,Upregulated,PcB target,RCAN2
56,SLC1A2,345.139884338639,-5.27303365253677,0.571248393642745,5.0635555831594e-21,3.35981805753165e-19,Downregulated,PcB target,SLC1A2
57,EYA2,123.035446931709,3.54185898843225,0.381259710196229,6.3312572743149e-21,4.13343561728906e-19,Upregulated,PcB target,EYA2
58,SVIL,2068.66232610493,-1.13851507650677,0.129968403199549,3.32981312953357e-20,2.04255364900452e-18,Downregulated,PcB target,SVIL
59,CAVIN1,930.208149203013,-2.87923346497947,0.320967823105184,6.52770494205998e-20,3.83059309663543e-18,Downregulated,PcB target,CAVIN1
60,PRAG1,379.192475117627,1.96599306478587,0.230416851742983,9.75233381987505e-20,5.62532346246429e-18,Upregulated,PcB target,PRAG1
61,RAB6B,465.792562579229,1.68664847005707,0.199740217751437,1.28671511534875e-19,7.23697055458198e-18,Upregulated,PcB target,RAB6B
62,CAMK2N1,121.132682439765,2.47706938237933,0.286314456753249,3.03912132469791e-19,1.66324310988319e-17,Upregulated,PcB target,CAMK2N1
63,PDIA6,4504.63128346121,-0.837509162579904,0.0965251550838866,3.37492470363506e-19,1.84205567695178e-17,Downregulated,PcB target,PDIA6
