,Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,effect,target,Label
1477,ROBO3,81.4978785109449,-0.121158308634227,0.357334600385509,0.63639525267677,0.751771005642246,NS,PcB target,NA
1478,UTP14A,545.665545156058,0.0599495056276427,0.135207482489023,0.638693596256301,0.753392240875448,NS,PcB target,NA
1479,HTATSF1P2,43.3966437850388,0.106442886255679,0.282335122561688,0.638856556007757,0.75349343635438,NS,PcB target,NA
1480,SYT2,26.8916559069633,0.119382217659094,0.355160495004686,0.640502030008075,0.754887056671959,NS,PcB target,NA
1481,LHX2,137.228622891307,-0.0810524623037431,0.195449136776956,0.642117025290954,0.756242763999864,NS,PcB target,NA
1482,RHOT1,499.41650938256,0.0636338699780223,0.148163319323998,0.645681782232556,0.759113416221394,NS,PcB target,NA
1483,LINC01703,9.31930580863355,-0.122926214334237,0.464395816257275,0.648916333426639,0.761815447827065,NS,PcB target,NA
1484,FBXW4,299.633312883107,0.0579765402282065,0.135081798582132,0.649509699461227,0.762191299265599,NS,PcB target,NA
1485,TWIST1,13.3625808742958,0.12092689464675,0.417673652489189,0.651841022054722,0.763825471268204,NS,PcB target,NA
1486,PGM1,788.253063072874,-0.0480933529975211,0.111732345670383,0.654261949391713,0.765789220074405,NS,PcB target,NA
1487,TMEM242,216.703553632075,0.065474300980625,0.157894149850942,0.654319222575917,0.765810355316902,NS,PcB target,NA
1488,MAP1LC3B2,20.924337963381,-0.116785789529442,0.376845115806766,0.654789833396738,0.766223386060133,NS,PcB target,NA
1489,RASGRP2,5.67760179899599,0.116799910840371,0.541580870387594,0.656867714411074,0.767596955718954,NS,PcB target,NA
1490,TSC22D3,267.178442943427,0.0703778800827811,0.173698661011914,0.656974707901664,0.767651196353047,NS,PcB target,NA
1491,MEIOB,21.719784325587,0.116706824855015,0.408861654511135,0.661874613089161,0.771520620321833,NS,PcB target,NA
1492,PDZD7,26.9743402902696,0.110918830646993,0.351558292830457,0.662925139310284,0.772595017930963,NS,PcB target,NA
1493,RIIAD1,40.9377333104281,0.107530263218644,0.332446825577574,0.664805815089792,0.773863135257121,NS,PcB target,NA
1494,CDK5R1,278.660929827056,-0.0756744539736956,0.195953988184421,0.665017972689036,0.774063954859122,NS,PcB target,NA
1495,KLHL17,143.178068955403,-0.0843874278823757,0.227241637287216,0.666342904250973,0.77520576216895,NS,PcB target,NA
1496,DGUOK-AS1,177.635581584913,0.0748811164800038,0.197533682983779,0.670297063367664,0.778002206668756,NS,PcB target,NA
1497,PITX2,10.0426617412981,0.114616579161585,0.471621097923454,0.670534675071109,0.778093640716997,NS,PcB target,NA
1498,CRELD2,647.036711109312,0.0520185943494597,0.128952281637576,0.670805296182236,0.778156458586593,NS,PcB target,NA
1499,FAM204A,301.310321091777,-0.0596285566929402,0.150570732731578,0.670969842279355,0.778301103654959,NS,PcB target,NA
1500,ANAPC7,892.458316617405,0.0411126688923842,0.100617899885508,0.673001832736005,0.780055780488409,NS,PcB target,NA
1501,BCORL1,222.211868016879,0.0662182336629987,0.172247261997252,0.673932735878413,0.780856678903148,NS,PcB target,NA
1502,SCML2,108.002825043288,-0.0880488279531055,0.251923453181919,0.67585311120157,0.782346912666274,NS,PcB target,NA
